date,prophet_forecast,xgboost_forecast,ensemble_forecast
2025-01-21,5259.750725838491,4894.4487,5040.5695286166465
2025-01-22,4813.130568275533,4532.2803,4645.251515630776
2025-01-23,4823.325157466607,4553.154,4662.4366013962535
2025-01-24,5035.473072315892,4670.5767,4818.99520083242
2025-01-25,2259.5052995046394,2263.2888,2261.7414016592356
2025-01-26,1378.1946180606749,1495.8693,1447.4772178230908
2025-01-27,6137.095470639444,5740.789,5904.655082944175
2025-01-28,5922.864981357819,5541.4863,5700.0370041880815
2025-01-29,5635.674813778653,5272.7383,5424.437595969841
2025-01-30,5712.944227287896,5284.158,5464.344689683341
2025-01-31,5899.212852998846,5415.9224,5620.09901961138
2025-02-01,2985.3333898902583,2670.2139,2804.051147616312
2025-02-02,1928.4305333170332,1848.886,1882.8488266155239
2025-02-03,6540.947530165782,6040.161,6255.105406732673
2025-02-04,6126.852150391244,5727.965,5900.069029986222
2025-02-05,5661.39663754608,5231.0327,5417.684933004535
2025-02-06,5603.157728691356,4977.1875,5250.082386216007
2025-02-07,5701.565893583262,5225.131,5433.905762005586
2025-02-08,2712.6491702161898,2480.8901,2582.9682728209928
2025-02-09,1635.549331955453,1582.4506,1605.9572082090713
2025-02-10,6307.581778470527,5914.676,6089.4968766425045
2025-02-11,5906.282257113143,5393.914,5623.040513574191
2025-02-12,5444.192656025014,4983.458,5190.529759818124
2025-02-13,5375.373252082,4697.7676,5003.832163440409
2025-02-14,5444.290891968824,4941.415,5169.686774539079
2025-02-15,2378.8308765443267,2277.3083,2323.62087313251
2025-02-16,1241.0802262003365,1393.886,1323.8357052807792
2025-02-17,5923.57716848846,5565.642,5730.533530567718
2025-02-18,5510.72506897911,5115.4097,5298.409606413996
2025-02-19,5081.626178075191,4658.5366,4855.344572318825
2025-02-20,5104.802145981386,4668.3486,4872.353870428518
2025-02-21,5323.983336240092,4704.2827,4995.333119050123
2025-02-22,2426.525819767028,2388.265,2406.3206110268206
2025-02-23,1509.550830352296,1482.5994,1495.3785992565804
2025-02-24,6481.292032856645,5894.1606,6173.872676722225
2025-02-25,6288.001008912417,5782.757,6024.592810867067
2025-02-26,6032.192057096887,5567.7627,5791.106253563868
2025-02-27,6162.976768535729,5586.8867,5865.222360781307
2025-02-28,6404.979771937813,5910.4956,6150.5148862717115
2025-03-01,3406.1523055221974,3112.9133,3255.9085158564703
2025-03-02,2320.3132679380933,2221.9797,2270.1521181055923
2025-03-03,7111.440778887759,6763.231,6934.597139023554
2025-03-04,6640.969742229676,6155.404,6395.45887690814
2025-03-05,6094.127467312091,5750.624,5921.2178685976905
2025-03-06,5957.430436318618,5512.0093,5734.219383618853
2025-03-07,5982.429017381822,5698.7627,5840.9145825517335
2025-03-08,2806.057837139351,2662.264,2734.6455751880176
2025-03-09,1645.23555962727,1668.357,1656.6664116005159
2025-03-10,6502.978611979397,6221.4023,6364.405122670997
2025-03-11,6118.403625642566,5857.9985,5990.834390303202
2025-03-12,5706.587372219873,5372.514,5543.679760943904
2025-03-13,5730.980676654458,5506.6045,5622.0699893626315
2025-03-14,5910.893833857256,5573.8403,5748.047759941321
2025-03-15,2823.0998220944743,2765.651,2795.472689864632
2025-03-16,1715.6813627193344,1909.9065,1808.6475492198624
2025-03-17,6620.523772622423,6506.794,6566.342371746685
2025-03-18,6167.244394461573,5942.238,6060.555871057111
2025-03-19,5634.273662226515,5335.814,5493.427512899816
2025-03-20,5510.712810091557,5182.6035,5356.61204033086
2025-03-21,5539.764965735786,5156.2607,5360.50905899861
2025-03-22,2292.6866254255383,2419.2803,2351.5740077591927
2025-03-23,1093.2561025644916,1376.664,1224.4516409919756
2025-03-24,6029.646256605888,5824.043,5934.930135234074
2025-03-25,5628.004455710387,5254.2954,5456.686151681075
2025-03-26,5213.8720829276845,4675.141,4968.1139102575125
2025-03-27,5266.135301935715,4664.0996,4992.851684189054
2025-03-28,5502.1640724499075,4963.5034,5258.858922897744
2025-03-29,2432.074467586024,2394.6555,2415.2569619644964
2025-03-30,1402.717098889617,1429.6229,1414.7491423887159
2025-03-31,6517.347096641991,6095.8633,6329.810477658588
2025-04-01,6175.4452032785985,5774.5327,5997.962596038901
2025-04-02,5748.180554329431,5258.113,5532.330484157086
2025-04-03,5724.67215450412,5278.009,5528.943264029702
2025-04-04,5835.521840268083,5315.947,5609.010464521295
2025-04-05,2581.065541367328,2528.3452,2558.2003210997987
2025-04-06,1386.5639534782715,1437.9553,1408.7373081011297
2025-04-07,6420.697707971335,6041.208,6257.815611948105
2025-04-08,5993.460485231955,5392.508,5736.873950807076
2025-04-09,5539.637345389782,5128.642,5365.079809888209
2025-04-10,5554.491992678448,5105.1694,5364.665832885362
2025-04-11,5756.449604660477,5107.255,5483.641935029978
2025-04-12,2593.6414551897824,2451.8289,2534.3669761227466
2025-04-13,1517.4755435702716,1489.1407,1505.6959090702885
2025-04-14,6708.852127662529,6234.2715,6512.621030213304
2025-04-15,6343.286904136549,5760.5923,6103.661925994089
2025-04-16,5890.305742027239,5280.0938,5640.735893602616
2025-04-17,5843.863587896758,5153.1035,5562.902749512065
2025-04-18,5925.954711332342,5280.119,5664.717851270945
2025-04-19,2569.3313504503353,2390.5486,2497.416484838185
2025-04-20,1303.7052592751454,1426.2561,1352.7255969713374
